City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,bathsheba,13.2167,-59.5167,86.61,70,40,17.27,BB,1667850209
281,grand-santi,4.25,-54.3833,77.2,96,100,2.68,GF,1667850209
282,lazaro cardenas,17.9583,-102.2,83.71,70,17,9.15,MX,1667850074
283,trstena,49.361,19.6125,42.58,94,15,3.8,SK,1667850210
284,newport,51.5877,-2.9984,58.6,85,100,30.06,GB,1667850210
285,port macquarie,-31.4333,152.9167,56.89,85,50,1.03,AU,1667850210
286,touros,-5.1989,-35.4608,80.33,64,100,10.78,BR,1667850211
287,cherskiy,68.75,161.3,-5.51,98,23,4.21,RU,1667850211
288,mount isa,-20.7333,139.5,67.77,68,0,0.0,AU,1667850212
289,taua,-5.9667,-40.3,83.07,55,74,9.82,BR,1667850212
290,cabedelo,-6.9811,-34.8339,84.87,69,58,10.31,BR,1667850212
291,batagay,67.6333,134.6333,-4.9,98,100,3.44,RU,1667850213
292,thiruvananthapuram,8.4833,76.9167,80.58,83,75,0.0,IN,1667850213
293,guerrero negro,27.9769,-114.0611,69.62,64,98,13.24,MX,1667850017
294,tanete,-3.9443,119.7848,74.39,94,100,2.53,ID,1667850213
295,buraydah,26.326,43.975,73.85,62,0,10.38,SA,1667850214
296,meulaboh,4.1363,96.1285,76.64,88,100,3.24,ID,1667850214
297,college,64.8569,-147.8028,18.81,73,100,3.44,US,1667850214
298,nangwa,-4.4667,35.45,62.35,77,100,9.93,TZ,1667850215
299,omihachiman,35.1286,136.0976,52.61,75,0,2.98,JP,1667850215
300,tolbazy,54.0241,55.8825,25.92,95,100,5.41,RU,1667850215
301,praia da vitoria,38.7333,-27.0667,62.85,72,40,13.82,PT,1667850216
302,saint-francois,46.4154,3.9054,48.67,93,0,2.3,FR,1667850216
303,zhanaozen,43.3,52.8,34.25,69,5,4.38,KZ,1667850217
304,qaqortoq,60.7167,-46.0333,24.51,93,100,3.02,GL,1667850217
305,pasuruan,-7.6453,112.9075,75.09,81,100,2.93,ID,1667850217
306,benguela,-12.5763,13.4055,76.28,76,32,7.81,AO,1667850113
307,haines junction,60.7522,-137.5108,-7.65,77,16,1.14,CA,1667850218
308,dukat,62.55,155.55,11.01,95,100,5.41,RU,1667850218
309,marystown,47.1666,-55.1483,55.78,93,93,19.98,CA,1667850218
310,ramanuj ganj,23.8,83.7,60.67,74,4,2.86,IN,1667850219
311,kendari,-3.945,122.4989,74.57,93,100,4.12,ID,1667850219
312,porbandar,21.6422,69.6093,77.88,63,52,7.25,IN,1667850219
313,wilkie,52.4168,-108.7014,7.18,86,100,15.14,CA,1667850220
314,ghanzi,-21.5667,21.7833,64.96,79,29,7.76,BW,1667850220
315,carmen,18.6333,-91.8333,81.7,70,81,6.93,MX,1667850084
316,dillon,34.4166,-79.3712,87.87,46,3,8.46,US,1667850221
317,vila franca do campo,37.7167,-25.4333,64.2,86,100,7.38,PT,1667850221
318,asyut,27.181,31.1837,70.25,35,99,9.37,EG,1667850221
319,burnie,-41.0667,145.9167,52.95,76,32,4.65,AU,1667850222
320,paris,48.8534,2.3488,57.97,84,0,13.8,FR,1667850222
321,alice springs,-23.7,133.8833,67.55,26,26,1.14,AU,1667850222
322,hanstholm,57.1167,8.6167,52.39,87,40,13.33,DK,1667850223
323,quchan,37.106,58.5095,36.99,73,65,8.84,IR,1667850223
324,port elizabeth,-33.918,25.5701,65.32,89,0,13.8,ZA,1667850113
325,tuyen quang,21.8233,105.2181,65.71,88,1,1.92,VN,1667850224
326,springbok,-29.6643,17.8865,62.69,52,25,3.51,ZA,1667850224
327,vostok,46.4856,135.8833,26.51,94,41,4.47,RU,1667850224
328,san isidro,-12.1167,-77.05,65.79,68,0,10.36,PE,1667850225
329,jardim,-21.4803,-56.1381,85.77,25,41,8.1,BR,1667850225
330,dvinskoy,62.1535,45.1175,35.19,97,100,8.77,RU,1667850225
331,stornoway,58.2093,-6.3865,52.93,93,75,17.27,GB,1667850226
332,luderitz,-26.6481,15.1594,62.91,85,1,7.31,NA,1667850226
333,sungaipenuh,-2.0833,101.3833,64.65,97,100,0.54,ID,1667850227
334,orodara,10.9492,-4.9342,76.35,25,52,3.94,BF,1667850227
335,ellensburg,46.9965,-120.5479,41.02,80,0,8.05,US,1667850227
336,nacala,-14.5428,40.6728,76.64,85,0,11.34,MZ,1667850228
337,dali,25.7,100.1833,47.1,80,0,3.04,CN,1667850228
338,cabra,37.4725,-4.4421,58.84,45,29,2.55,ES,1667850228
339,hualmay,-11.0964,-77.6139,68.65,70,10,9.62,PE,1667850229
340,atambua,-9.1061,124.8925,75.43,85,100,2.3,ID,1667850229
341,korem,12.5058,39.5228,55.02,59,8,3.89,ET,1667850230
342,tecoanapa,16.5167,-98.75,84.4,72,63,8.9,MX,1667850230
343,igdir,39.9237,44.045,48.13,52,75,4.61,TR,1667850230
344,morondava,-20.2833,44.2833,80.04,75,28,9.53,MG,1667850231
345,bahia blanca,-38.7196,-62.2724,84.72,26,0,18.41,AR,1667849987
346,phibun mangsahan,15.2447,105.2291,69.78,81,7,6.29,TH,1667850231
347,hofn,64.2539,-15.2082,42.82,81,75,20.71,IS,1667850231
348,anan,33.9167,134.65,53.38,80,3,11.36,JP,1667850232
349,antalya,36.7741,30.7178,60.1,82,75,6.91,TR,1667850232
350,merauke,-8.4667,140.3333,77.76,86,91,7.14,ID,1667850232
351,necochea,-38.5473,-58.7368,79.16,30,2,15.66,AR,1667850233
352,albanel,48.8832,-72.4487,48.34,53,77,25.32,CA,1667850233
353,buchanan,5.8808,-10.0467,77.94,85,100,5.28,LR,1667850234
354,yar-sale,66.8333,70.8333,22.08,92,100,7.76,RU,1667850234
355,kastamonu,41.5,33.6667,46.63,87,64,3.36,TR,1667850234
356,caraballeda,10.6112,-66.8522,92.37,60,93,4.61,VE,1667850235
357,abu kamal,34.4506,40.9171,69.46,28,47,14.63,SY,1667850235
358,lucapa,-8.4192,20.7447,66.74,99,100,2.51,AO,1667850236
359,salihli,38.4826,28.1477,53.69,80,0,4.09,TR,1667850236
360,cururupu,-1.8283,-44.8683,79.61,82,72,3.53,BR,1667850237
